id,polyline,distance_meters,duration_seconds,edge_id,translation_id
60,{cagGdxwfN?_C?MHON?jAGhAAR@PJRd@N^PXVTx@\If@?jB@r@Hr@J`AHt@?t@TP`@`AjAnA?T,565,470,40,3
61,{cagGdxwfN?_C?MHON?jAGhAAR@PJRd@N^PXVTx@\If@?jB@r@Hr@J`AHt@?t@AfBBn@Lf@Vj@HR?pAg@XS?,636,525,41,3
62,at`gGbkxfN?K?I_@DY?KGKv@?d@?pA]TSBI?,156,124,42,3
63,at`gGbkxfN?K?IxACbAIh@ChACBdA,190,154,43,3
64,at`gGbkxfN?K?IxACv@CFFBT@TLRA\IXQVOLGD?PU?AD@lB?p@`@CZ?FL,307,247,44,3
65,{i`gGhyxfN?_@A?i@??NS?O@UBg@DQFD_BAUAC,159,128,45,3
66,{i`gGhyxfN?_@A?i@??NS?O@UBg@DQFAF?z@_C?Ik@Io@,248,199,46,3
67,{i`gGhyxfN?_@A?i@??NS?O@UBg@DQFD_BAUIQ[?a@B?q@AaB?K@ET??QFENMPWHY@ONAfAENU,395,327,47,3
68,yn`gGruxfNB\GbB?z@BbBx@GnCWx@OFGJSBw@?c@,318,73,21,4
69,yn`gGruxfNKMW?aAFw@J@rA,126,39,22,4
70,yn`gGruxfNKMW?a@B?q@AaB?K?CvAErB@,222,55,23,4
71,sv`gGzoxfN,0,0,24,4
72,sv`gGzoxfNDdD@\NAP?HD^GFA@jA?F,160,46,25,4
73,sv`gGzoxfNDdD@\NAP?HD^GRG~BOJDDD?B,218,59,26,4
74,qs`gGtxxfNRzA@h@?h@PD`@Ld@Bf@GC_DFsBCM,265,101,27,4
75,qs`gGtxxfNRzA@h@?h@PD`@Ld@Bf@GC_DFsBCQEEKEs@DkAHSF_@FCAWCO@A]AcACaB,483,160,28,4
76,qs`gGtxxfNRzA@h@?h@PD`@Ld@Bf@Gx@GnCWx@OFGJSBw@?c@,347,103,29,4
77,ch`gGxswfNPOHMBO?[kGCwCGSEAjE[ACCEIKyBIQKMOGo@K[K]Mi@QDp@@|A@b@DHTVJJx@\XBF?,711,180,30,4
78,qf`gGbtwfNzA@r@AHEj@?DCD@LAXe@NBxA?LDJFFX@h@@bBCNA^AdAGl@Q`@a@x@EvA?L]LIBa@@eA@_@Ee@@_AF[FMJ]ZXj@DX?rBBpDJ~E@dBE^MPIFiEd@s@DCo@?_BFwBAUGMECW?a@B?q@AaB?O?AB?jBCzA@,1447,344,31,4
79,qf`gGbtwfNzA@r@AHEj@?DCD@LAXe@NBxA?LDJFFX@h@@bBCNA^AdAGl@Q`@a@x@EvA?L]LIBa@@eA@_@Ee@@_AF[FMJ]ZXj@DX?rBBpDJ~E@dBE^MPIFiEd@s@DCo@?_BFwBAUGMECW?aAFw@Jc@HEAMC[@A}@EeC,1443,348,32,4
80,uj`gG`pxfNqBAuABCB@l@?rBr@EJDDD?B,222,57,33,4
81,uj`gG`pxfNqBAuABCB@l@?rBkAHSF_@FIEQ?O@A]AcACaB,356,94,34,4
82,uj`gG`pxfNqBAuABCB@l@?rBr@EJDDDBP?NGbB?z@BbBx@GnCWx@OFGJSBw@?c@,540,130,35,4
83,sw`gGbxwfNXAXEb@FTAAY?cESEAjE[AGGIuBGSIOOIeAUuAe@{@]QCs@DwA?@bC@jA,640,148,36,4
